fips,county,rate__2017,rate__2018,rate__2019,rate__2022,rate__2023,rate__2024,rate__2025
37000,North Carolina,983,971,925,829,808,765,738
37001,Alamance,1116,1169,1182,1247,1170,1138,1026
37003,Alexander,1696,1706,2043,2094,2140,2020,2227
37005,Alleghany,1444,1817,1595,987,906,714,899
37007,Anson,2776,3832,3839,2386,2446,2661,3012
37009,Ashe,1318,1335,1202,1065,820,823,832
37011,Avery,1222,1177,1131,985,703,606,731
37013,Beaufort,1356,1432,1403,1170,1158,1146,961
37015,Bertie,1555,1603,1333,1251,1007,1163,1235
37017,Bladen,1251,1150,1297,1302,1187,1043,999
37019,Brunswick,1467,1511,1625,1412,1311,1307,1252
37021,Buncombe,607,590,576,505,496,486,467
37023,Burke,995,976,903,885,792,742,775
37025,Cabarrus,999,1025,895,749,788,757,740
37027,Caldwell,1581,1318,1359,1123,1078,1105,1064
37029,Camden,,,10847,2221,3674,4428,7113
37031,Carteret,1285,1305,1193,1048,875,831,774
37033,Caswell,2430,2655,2186,1334,1317,1726,1757
37035,Catawba,935,967,915,814,802,736,717
37037,Chatham,2092,2544,2338,1549,1561,1863,1843
37039,Cherokee,1826,1797,2222,1257,1134,1342,1116
37041,Chowan,1052,1001,968,1031,1068,1068,853
37043,Clay,1174,1469,1486,1357,1016,917,957
37045,Cleveland,1052,1026,1043,966,985,895,935
37047,Columbus,1132,1261,1223,1068,1002,913,817
37049,Craven,1008,1042,1002,852,870,805,734
37051,Cumberland,977,952,878,848,835,770,777
37053,Currituck,2483,2041,2753,2740,2989,3500,2303
37055,Dare,1040,1232,1123,781,774,695,660
37057,Davidson,2000,1879,1792,1871,1715,1747,1632
37059,Davie,1952,1948,1642,1040,1097,1192,1137
37061,Duplin,1633,1615,1449,1347,1187,1264,1235
37063,Durham,507,496,474,433,427,412,412
37065,Edgecombe,1457,1603,1596,1859,1624,1450,1374
37067,Forsyth,628,611,584,505,507,466,463
37069,Franklin,5363,5833,4571,4068,3151,4603,5349
37071,Gaston,1217,1227,1145,1101,1053,978,925
37073,Gates,5345,11990,7893,15457,6593,6578,15325
37075,Graham,1252,1203,1199,1551,1436,957,1207
37077,Granville,1014,1022,1119,1035,1119,1008,1000
37079,Greene,1232,1106,1198,1451,1227,1398,1532
37081,Guilford,926,932,847,762,727,694,670
37083,Halifax,1372,1189,1368,1251,1345,1151,1050
37085,Harnett,1489,1554,1344,1359,1574,1458,1396
37087,Haywood,1297,1340,1229,1159,1198,1095,1093
37089,Henderson,1049,1008,995,879,842,777,746
37091,Hertford,841,697,668,626,681,617,663
37093,Hoke,1603,1938,1777,1685,1514,1241,1080
37095,Hyde,1613,2003,1992,869,993,899,1516
37097,Iredell,929,935,924,787,810,738,753
37099,Jackson,936,867,935,733,684,736,706
37101,Johnston,1995,1958,2010,1762,1753,1785,1646
37103,Jones,1561,1561,1809,1800,1888,1484,1662
37105,Lee,1140,1245,1123,1061,1011,941,819
37107,Lenoir,1469,1420,1237,1046,1048,904,921
37109,Lincoln,1344,1370,1369,1321,1352,1276,1146
37111,McDowell,1368,1428,1163,1221,1025,951,904
37113,Macon,1091,1161,1147,1268,1386,1235,1171
37115,Madison,1160,1450,1547,1009,915,985,945
37117,Martin,1454,1416,1467,1734,1963,1881,1256
37119,Mecklenburg,802,774,731,652,628,598,562
37121,Mitchell,651,646,578,658,604,624,570
37123,Montgomery,1957,1850,1779,1341,1727,1398,1266
37125,Moore,993,1048,961,757,717,706,673
37127,Nash,1101,1140,1166,1090,1045,1011,1005
37129,New Hanover,770,716,689,627,616,584,548
37131,Northampton,3796,3261,4408,3536,4070,3445,2984
37133,Onslow,1361,1546,1439,1242,1135,1003,961
37135,Orange,365,332,331,282,292,262,254
37137,Pamlico,1740,1381,1437,1218,1030,1109,1363
37139,Pasquotank,843,918,779,690,747,636,574
37141,Pender,1885,2019,1909,1393,1304,1221,1201
37143,Perquimans,2358,2273,1941,3393,4087,2759,3715
37145,Person,1761,1623,1751,1631,1952,1684,1603
37147,Pitt,608,625,603,530,517,486,476
37149,Polk,1866,1423,1913,2099,1512,1259,1298
37151,Randolph,1988,1770,1686,1651,1729,1860,1662
37153,Richmond,1516,1484,1484,1325,1251,1303,1402
37155,Robeson,1141,1043,1029,872,861,808,799
37157,Rockingham,1382,1462,1394,1514,1598,1591,1472
37159,Rowan,1279,1407,1329,1295,1355,1207,1158
37161,Rutherford,1573,1435,1449,1359,1287,1260,1116
37163,Sampson,1503,1303,1385,1331,1363,1235,1342
37165,Scotland,897,1013,876,762,704,823,750
37167,Stanly,1630,1458,1555,1479,1343,1280,1168
37169,Stokes,1813,1638,1571,1757,1728,1630,1711
37171,Surry,894,952,890,768,742,666,661
37173,Swain,602,497,478,633,567,539,502
37175,Transylvania,1194,1175,1249,1106,1107,1022,1012
37177,Tyrrell,5752,5664,5202,1581,4730,4700,4685
37179,Union,1739,1747,1595,1434,1387,1461,1451
37181,Vance,895,990,928,1014,938,756,816
37183,Wake,887,883,825,730,701,661,631
37185,Warren,5394,4276,6495,5349,6129,5381,6645
37187,Washington,1824,1585,2180,1100,1469,1408,870
37189,Watauga,1049,1001,933,669,584,517,519
37191,Wayne,1154,1048,962,987,927,867,851
37193,Wilkes,1324,1477,1290,1217,1184,1153,1090
37195,Wilson,1170,1110,1073,1103,1019,939,959
37197,Yadkin,2073,2184,1824,1683,1268,1674,1538
37199,Yancey,1189,1378,1815,946,957,958,1182
